hashing_method,pass,decoded_pass,time
MD5,12,12,0.0
SHA256,12,12,0.0
SHA512,12,12,0.0
MD5,-K,-K,0.007995
SHA256,-K,-K,0.008999
SHA512,-K,-K,0.009995
MD5,K&,K&,0.00598
SHA256,K&,K&,0.005996
SHA512,K&,K&,0.006001
MD5,Kp,Kp,0.004998
SHA256,Kp,Kp,0.005996
SHA512,Kp,Kp,0.0
MD5,%^,%^,0.007995
SHA256,%^,%^,0.007995
SHA512,%^,%^,0.007996
MD5,123,123,0.022986
SHA256,123,123,0.022875
SHA512,123,123,0.026153
MD5,pAs,pAs,0.262635
SHA256,pAs,pAs,0.284838
SHA512,pAs,pAs,0.31703
MD5,PWD,PWD,0.509291
SHA256,PWD,PWD,0.57967
SHA512,PWD,PWD,0.62831
MD5,*W2,*W2,0.725257
SHA256,*W2,*W2,0.789598
SHA512,*W2,*W2,0.865272
MD5,ad*,ad*,0.106631
SHA256,ad*,ad*,0.124981
SHA512,ad*,ad*,0.139884
MD5,Ad*,Ad*,0.368744
SHA256,Ad*,Ad*,0.391194
SHA512,Ad*,Ad*,0.466543
MD5,(:*,(:*,0.700661
SHA256,(:*,(:*,0.775708
SHA512,(:*,(:*,0.843722
MD5,XXX,XXX,0.583486
SHA256,XXX,XXX,0.679219
SHA512,XXX,XXX,0.734034
MD5,1234,1234,2.028356
SHA256,1234,1234,2.213307
SHA512,1234,1234,2.42013
MD5,pass,pass,25.734594
SHA256,pass,pass,28.461138
SHA512,pass,pass,31.018466
MD5,PWd1,PWd1,52.933408
SHA256,PWd1,PWd1,57.70016
SHA512,PWd1,PWd1,63.752892
MD5,asd1,asd1,11.355845
SHA256,asd1,asd1,12.287241
SHA512,asd1,asd1,13.81223
MD5,P0k*,P0k*,52.440744
SHA256,P0k*,P0k*,55.888798
SHA512,P0k*,P0k*,62.73154
MD5,PASS,PASS,51.729234
SHA256,PASS,PASS,57.252026
SHA512,PASS,PASS,62.248162
MD5,PaS1,PaS1,51.220948
SHA256,PaS1,PaS1,57.356321
SHA512,PaS1,PaS1,63.823241
MD5,LUBO,LUBO,48.647154
SHA256,LUBO,LUBO,53.117608
SHA512,LUBO,LUBO,59.186925
MD5,12345,12345,203.159103
SHA256,12345,12345,221.829381
SHA512,12345,12345,248.909887
MD5,qwert,qwert,2792.833315
SHA256,qwert,qwert,3037.635078
SHA512,qwert,qwert,3369.645699
MD5,mY&5s,mY&5s,2335.780892
SHA256,mY&5s,mY&5s,2578.102294
SHA512,mY&5s,mY&5s,2847.223527
MD5,ADMIN,ADMIN,3793.092945
SHA256,ADMIN,ADMIN,4166.638312
SHA512,ADMIN,ADMIN,4494.166662
MD5,^KOl%,^KOl%,8940.831229
SHA256,^KOl%,^KOl%,9774.4959
SHA512,^KOl%,^KOl%,10867.559936
MD5,^KOL%,^KOL%,8943.120803
SHA256,^KOL%,^KOL%,9794.332311
SHA512,^KOL%,^KOL%,10700.36029
MD5,123456,123456,20211.675606
SHA256,123456,123456,22136.258608
SHA512,123456,123456,24517.88546
MD5,adm1n,adm1n,1142.62465
SHA256,adm1n,adm1n,1244.192796
SHA512,adm1n,adm1n,1400.886664
MD5,P1n,P1n,0.508438
SHA256,P1n,P1n,0.597761
SHA512,P1n,P1n,0.642211
MD5,P1%~n,P1%~n,5286.772106
SHA256,P1%~n,P1%~n,5854.433631
SHA512,P1%~n,P1%~n,6516.74662
MD5,tst,tst,0.298737
SHA256,tst,tst,0.34363
SHA512,tst,tst,0.389115
MD5,rev,rev,0.271283
SHA256,rev,rev,0.32682
SHA512,rev,rev,0.34587
